trial_id,attempt_idx,start,end,duration,wrist_RR,wrist_DET,wrist_LAM,wrist_L_MAX,wrist_n_points,wrist_emb_dim,wrist_emb_delay,env_RR,env_DET,env_LAM,env_L_MAX,env_n_points,env_emb_dim,env_emb_delay,pair_id,condition,target_word,clue_giver_id,n_attempts,guesser_id,guessed,guess_time,n_turntakes,is_last_attempt
103_203_12_1_20250113_152455_doughnut_board,1,1.01,13.79,12.78,0.0675,0.49,0.7055,1.9,383.0,8.0,7.0,0.0509,0.9672,0.9935,6.87,1278,8,24,103_203,board,doughnut,103,1,203.0,True,14.46,0,True
103_203_13_1_20250113_152513_spinach_board,1,2.8,13.8,11.0,0.03,0.8299,0.888,1.7333,330.0,8.0,12.0,0.0138,0.8923,0.9809,4.35,1100,8,16,103_203,board,spinach,103,1,203.0,True,14.67,1,True
103_203_14_1_20250113_152536_balloon_board,1,2.61,18.61,16.0,0.0654,0.6557,0.8097,5.6667,480.0,8.0,7.0,0.0357,0.9609,0.9929,10.248,1333,8,16,103_203,board,balloon,103,2,203.0,False,,2,False
103_203_14_1_20250113_152536_balloon_board,2,,,,,,,,,,,1.0,0.8642,1.0,0.096,9,8,16,103_203,board,balloon,103,2,203.0,False,,2,True
103_203_15_1_20250113_152557_bacon_board,1,1.2,6.08,4.88,0.3893,0.8156,0.8983,4.8667,147.0,8.0,10.0,0.0401,0.9083,0.9898,4.872,407,8,22,103_203,board,bacon,103,3,203.0,True,18.19,4,False
103_203_15_1_20250113_152557_bacon_board,2,9.72,14.98,5.26,0.0389,0.6227,0.8247,1.3,158.0,8.0,10.0,0.1234,0.971,0.9967,5.256,439,8,22,103_203,board,bacon,103,3,203.0,True,18.19,4,False
103_203_15_1_20250113_152557_bacon_board,3,14.98,17.48,2.5,0.0137,0.0,0.0,0.0,75.0,8.0,10.0,0.0334,0.8091,0.9827,2.484,208,8,22,103_203,board,bacon,103,3,203.0,True,18.19,4,True
103_203_16_1_20250113_152613_chlorine_board,1,3.98,12.62,8.64,0.0198,0.4222,0.734,0.5333,259.0,8.0,9.0,0.0128,0.9235,0.9414,1.472,1080,8,23,103_203,board,chlorine,103,1,203.0,True,12.13,0,True
103_203_17_1_20250113_152643_leather_board,1,1.78,25.1,23.32,0.0915,0.8225,0.906,6.4667,700.0,8.0,8.0,0.0502,0.9251,0.9726,3.072,1457,8,11,103_203,board,leather,103,1,203.0,True,23.41,0,True
103_203_18_1_20250113_152657_pillow_board,1,2.48,6.86,4.38,0.0738,0.6582,0.8461,1.0667,131.0,8.0,14.0,0.0737,0.9808,0.9956,2.526,730,8,26,103_203,board,pillow,103,1,203.0,True,7.65,0,True
103_203_19_1_20250113_152712_traffic_board,1,2.19,11.43,9.24,0.0976,0.6395,0.8075,1.5333,277.0,8.0,7.0,0.0113,0.8997,0.9895,7.2,1155,8,17,103_203,board,traffic,103,1,203.0,True,11.92,0,True
103_203_20_1_20250113_152735_bitter_board,1,2.77,22.3,19.53,0.0359,0.7517,0.8646,4.5333,530.0,8.0,8.0,0.0439,0.9561,0.9871,18.156,1514,8,17,103_203,board,bitter,103,1,,False,,0,True
103_203_21_1_20250113_152824_tiger_board,1,0.0,36.12,36.12,0.1019,0.8696,0.9297,6.3667,1084.0,8.0,14.0,0.0886,0.9334,0.9716,10.32,1505,8,14,103_203,board,tiger,103,2,203.0,True,44.12,3,False
103_203_21_1_20250113_152824_tiger_board,2,37.0,43.0,6.0,0.0248,0.3547,0.6931,0.1667,179.0,8.0,14.0,0.0065,0.1823,0.5616,0.192,250,8,14,103_203,board,tiger,103,2,203.0,True,44.12,3,True
103_203_23_1_20250113_152946_trumpet_ground,1,1.74,26.17,24.43,0.0848,0.7918,0.8861,4.2667,733.0,8.0,8.0,0.0613,0.9555,0.985,6.192,1357,8,17,103_203,ground,trumpet,203,2,103.0,False,,3,False
103_203_23_1_20250113_152946_trumpet_ground,2,26.17,32.08,5.91,0.0386,0.4128,0.7277,1.2333,156.0,8.0,8.0,0.1434,0.9158,0.9831,1.926,284,8,17,103_203,ground,trumpet,203,2,103.0,False,,3,True
103_203_24_1_20250113_152957_pasta_ground,1,1.42,10.42,9.0,0.0722,0.6821,0.8313,3.8667,232.0,8.0,6.0,0.0506,0.9784,0.9973,7.896,1317,8,29,103_203,ground,pasta,203,1,,True,8.42,0,True
103_203_25_1_20250113_153028_hamster_ground,1,0.88,16.3,15.42,0.172,0.8829,0.9341,6.1667,462.0,8.0,15.0,0.0605,0.9182,0.9729,7.152,964,8,18,103_203,ground,hamster,203,2,103.0,True,27.06,2,False
103_203_25_1_20250113_153028_hamster_ground,2,17.88,26.08,8.2,0.0159,0.2958,0.5781,0.1667,246.0,8.0,15.0,0.1599,0.9605,0.9915,6.368,512,8,18,103_203,ground,hamster,203,2,103.0,True,27.06,2,True
103_203_26_1_20250113_153140_siren_ground,1,2.83,24.83,22.0,0.0853,0.6785,0.8582,3.2667,330.0,8.0,8.0,0.1324,0.7361,0.8931,2.448,611,8,12,103_203,ground,siren,203,4,103.0,False,,7,False
103_203_26_1_20250113_153140_siren_ground,2,33.46,51.64,18.18,0.1272,0.629,0.7933,6.4,273.0,8.0,8.0,0.0516,0.6377,0.8333,3.456,505,8,12,103_203,ground,siren,203,4,103.0,False,,7,False
103_203_26_1_20250113_153140_siren_ground,3,51.64,60.64,9.0,0.0273,0.3622,0.7143,0.4667,135.0,8.0,8.0,0.0162,0.2801,0.6538,0.18,250,8,12,103_203,ground,siren,203,4,103.0,False,,7,False
103_203_26_1_20250113_153140_siren_ground,4,63.64,64.64,1.0,0.68,0.7974,0.9412,0.4,15.0,8.0,8.0,0.1429,0.625,0.9732,0.504,28,8,12,103_203,ground,siren,203,4,103.0,False,,7,True
103_203_27_1_20250113_153217_jungle_ground,1,1.26,26.02,24.76,0.0787,0.857,0.9192,9.0667,714.0,8.0,12.0,0.0733,0.9686,0.9901,24.234,1732,8,25,103_203,ground,jungle,203,1,103.0,True,24.38,0,True
103_203_28_1_20250113_153235_birthday_ground,1,1.07,17.06,15.99,0.0831,0.7179,0.8583,2.4,425.0,8.0,9.0,0.0806,0.9815,0.996,14.31,1476,8,21,103_203,ground,birthday,203,1,,False,,0,True
103_203_29_1_20250113_153255_cherry_ground,1,0.85,16.85,16.0,0.0796,0.7147,0.8422,2.0667,477.0,8.0,8.0,0.0694,0.9793,0.9959,15.99,1600,8,20,103_203,ground,cherry,203,1,,False,,0,True
103_203_30_1_20250113_153310_exam_ground,1,0.88,12.88,12.0,0.0835,0.7455,0.8542,4.8,358.0,8.0,7.0,0.075,0.9791,0.9959,11.992,1500,8,25,103_203,ground,exam,203,1,,False,,0,True
103_203_31_1_20250113_153333_flower_ground,1,,,,,,,,,,,0.077,0.963,0.9888,19.26,1606,8,18,103_203,ground,flower,203,1,,False,,0,True
103_203_32_1_20250113_153341_coffee_ground,1,0.85,5.85,5.0,0.0571,0.2773,0.5125,0.8333,150.0,8.0,2.0,0.0488,0.982,0.9961,2.316,1250,8,19,103_203,ground,coffee,203,1,103.0,False,,1,True
103_203_34_1_20250113_153427_picture_ground,1,1.49,8.17,6.68,0.3138,0.9158,0.9536,3.0667,201.0,8.0,5.0,0.056,0.9214,0.9835,6.66,556,8,14,103_203,ground,picture,103,3,203.0,True,18.85,5,False
103_203_34_1_20250113_153427_picture_ground,2,9.05,12.97,3.92,0.0231,0.3354,0.6739,0.6333,118.0,8.0,5.0,0.0442,0.8744,0.9794,3.9,326,8,14,103_203,ground,picture,103,3,203.0,True,18.85,5,False
103_203_34_1_20250113_153427_picture_ground,3,15.49,18.11,2.62,0.1482,0.4973,0.7373,0.5,79.0,8.0,5.0,0.0667,0.8558,0.9744,2.616,219,8,14,103_203,ground,picture,103,3,203.0,True,18.85,5,True
103_203_35_1_20250113_153443_yellow_ground,1,2.45,12.45,10.0,0.1186,0.7609,0.8706,3.8,300.0,8.0,8.0,0.035,0.958,0.9944,9.992,1250,8,33,103_203,ground,yellow,103,1,203.0,True,12.73,0,True
103_203_37_1_20250113_153517_movie_ground,1,2.54,19.05,16.51,0.0442,0.7764,0.8722,2.3,495.0,8.0,8.0,0.0618,0.9812,0.9946,4.728,1376,8,20,103_203,ground,movie,103,1,203.0,True,19.68,0,True
103_203_38_1_20250113_153528_puppy_ground,1,1.62,7.78,6.16,0.1413,0.6297,0.8026,1.9333,185.0,8.0,9.0,0.0131,0.9083,0.9948,6.156,1027,8,18,103_203,ground,puppy,103,1,203.0,True,7.35,0,True
103_203_39_1_20250113_153540_muscle_ground,1,0.98,6.7,5.72,0.0618,0.7965,0.9081,1.2,172.0,8.0,9.0,0.0679,0.9798,0.9925,2.526,953,5,20,103_203,ground,muscle,103,1,203.0,True,7.18,0,True
103_203_40_1_20250113_153555_beauty_ground,1,3.09,10.49,7.4,0.0851,0.7892,0.9163,2.2,222.0,8.0,10.0,0.046,0.9751,0.9852,1.696,925,8,25,103_203,ground,beauty,103,1,203.0,True,11.18,0,True
103_203_41_1_20250113_153604_sugar_ground,1,1.36,4.64,3.28,0.3733,0.7822,0.9011,1.3667,99.0,8.0,5.0,0.0304,0.925,0.9969,3.276,547,8,24,103_203,ground,sugar,103,2,203.0,True,6.93,2,False
103_203_41_1_20250113_153604_sugar_ground,2,5.64,6.64,1.0,0.0333,0.0,0.0,0.0,30.0,8.0,5.0,0.0267,0.7409,0.9772,0.366,167,8,24,103_203,ground,sugar,103,2,203.0,True,6.93,2,True
103_203_42_1_20250113_153614_sushi_ground,1,1.23,6.23,5.0,0.0903,0.7028,0.8396,0.9667,150.0,8.0,5.0,0.0405,0.9604,0.9962,4.998,834,8,32,103_203,ground,sushi,103,1,203.0,True,6.3,0,True
103_203_43_1_20250113_153626_gravy_ground,1,1.55,7.67,6.12,0.0691,0.8197,0.906,1.8333,184.0,8.0,7.0,0.0089,0.8724,0.9958,6.114,1020,8,21,103_203,ground,gravy,103,1,203.0,True,8.0,0,True
103_203_45_1_20250113_153745_walnut_board,1,3.54,19.54,16.0,0.1662,0.8569,0.9255,3.0667,480.0,8.0,11.0,0.0445,0.7817,0.9124,2.244,728,8,13,103_203,board,walnut,203,3,103.0,False,,4,False
103_203_45_1_20250113_153745_walnut_board,2,19.54,39.23,19.69,0.0359,0.6411,0.8218,3.4667,554.0,8.0,11.0,0.0586,0.8586,0.9414,2.926,865,8,13,103_203,board,walnut,203,3,103.0,False,,4,False
103_203_46_1_20250113_153759_blanket_board,1,0.02,11.52,11.5,0.0732,0.748,0.8847,2.8667,320.0,8.0,9.0,0.071,0.9801,0.9969,11.0,1418,8,26,103_203,board,blanket,203,1,,False,,0,True
103_203_47_1_20250113_153811_soda_board,1,1.26,9.26,8.0,0.0724,0.6164,0.7896,2.2333,203.0,8.0,11.0,0.0411,0.9764,0.9985,7.392,1233,8,46,103_203,board,soda,203,1,,False,,0,True
103_203_48_1_20250113_153828_hunger_board,1,0.91,10.6,9.69,0.0789,0.7996,0.9017,1.0333,290.0,8.0,18.0,0.0588,0.9798,0.9976,6.808,1211,8,22,103_203,board,hunger,203,1,103.0,False,,1,True
103_203_49_1_20250113_153839_christmas_board,1,1.94,9.94,8.0,0.0597,0.7926,0.8982,1.8333,175.0,8.0,11.0,0.0385,0.9712,0.998,7.278,1214,8,27,103_203,board,christmas,203,1,,False,,0,True
103_203_50_1_20250113_153852_butter_board,1,0.85,10.85,10.0,0.0735,0.6967,0.8387,5.6,295.0,8.0,7.0,0.0806,0.9849,0.9979,6.856,1250,8,25,103_203,board,butter,203,1,,False,,0,True
103_203_51_1_20250113_153926_cologne_board,1,1.71,26.5,24.79,0.0881,0.647,0.7646,4.0667,744.0,8.0,7.0,0.0902,0.9539,0.987,24.192,1378,8,21,103_203,board,cologne,203,2,103.0,False,,2,False
103_203_51_1_20250113_153926_cologne_board,2,26.5,32.26,5.76,0.0591,0.4576,0.7072,0.2,134.0,8.0,7.0,0.0456,0.8524,0.994,3.438,192,8,21,103_203,board,cologne,203,2,103.0,False,,2,True
103_203_52_1_20250113_154037_zipper_board,1,0.78,12.78,12.0,0.1385,0.6622,0.824,1.2,180.0,8.0,10.0,0.0323,0.4943,0.7819,0.684,333,8,13,103_203,board,zipper,203,5,103.0,False,,9,False
103_203_52_1_20250113_154037_zipper_board,2,12.78,21.61,8.83,0.0996,0.3339,0.569,0.4667,133.0,8.0,10.0,0.0276,0.3249,0.6697,0.216,246,8,13,103_203,board,zipper,203,5,103.0,False,,9,False
103_203_52_1_20250113_154037_zipper_board,3,21.61,39.19,17.58,0.0678,0.4534,0.6978,0.6,263.0,8.0,10.0,0.0672,0.6422,0.813,0.864,488,8,13,103_203,board,zipper,203,5,103.0,False,,9,False
103_203_52_1_20250113_154037_zipper_board,4,42.19,46.73,4.54,0.08,0.373,0.673,0.2667,68.0,8.0,10.0,0.0375,0.4165,0.7124,0.18,127,8,13,103_203,board,zipper,203,5,103.0,False,,9,False
103_203_52_1_20250113_154037_zipper_board,5,46.73,55.36,8.63,0.0755,0.4577,0.7539,0.5333,130.0,8.0,10.0,0.0929,0.6687,0.8836,0.432,239,8,13,103_203,board,zipper,203,5,103.0,False,,9,True
103_203_53_1_20250113_154055_river_board,1,1.39,5.39,4.0,0.1135,0.5569,0.7625,0.5667,120.0,8.0,7.0,0.085,0.9792,0.999,3.996,667,8,41,103_203,board,river,203,1,103.0,True,5.28,0,True
103_203_54_1_20250113_154107_music_board,1,1.23,9.23,8.0,0.0752,0.6169,0.8485,0.5333,202.0,8.0,12.0,0.0577,0.9824,0.9985,7.998,1334,8,26,103_203,board,music,203,1,103.0,True,8.82,0,True
108_208_12_1_20250114_162456_flower_ground,1,1.62,4.02,2.4,0.1964,0.7308,0.8939,2.3667,72.0,8.0,8.0,0.0321,0.89,1.0,2.392,300,8,21,108_208,ground,flower,108,2,208.0,False,,2,False
108_208_12_1_20250114_162456_flower_ground,2,5.78,12.6,6.82,0.0458,0.4748,0.7786,0.6333,185.0,8.0,8.0,0.0341,0.9481,0.9945,6.808,852,8,21,108_208,ground,flower,108,2,208.0,False,,2,True
108_208_13_1_20250114_162512_traffic_ground,1,1.17,12.61,11.44,0.0531,0.3652,0.663,0.2333,343.0,8.0,8.0,0.0554,0.9746,0.9946,11.432,1430,8,24,108_208,ground,traffic,108,1,208.0,True,8.97,0,True
108_208_14_1_20250114_162535_zipper_ground,1,0.91,20.33,19.42,0.0539,0.683,0.8175,3.2667,557.0,8.0,8.0,0.0718,0.9481,0.9831,19.104,1593,8,16,108_208,ground,zipper,108,1,,False,,0,True
108_208_15_1_20250114_162542_gravy_ground,1,1.01,6.01,5.0,0.0408,0.6058,0.7643,0.8,139.0,8.0,6.0,0.0484,0.982,0.9997,4.996,1250,8,34,108_208,ground,gravy,108,1,,False,,0,True
108_208_16_1_20250114_162559_siren_ground,1,1.17,14.17,13.0,0.0675,0.7886,0.8788,3.4,371.0,8.0,10.0,0.0542,0.9823,0.9975,12.992,1625,8,21,108_208,ground,siren,108,1,208.0,True,13.8,0,True
108_208_17_1_20250114_162610_cherry_ground,1,1.07,9.07,8.0,0.0498,0.5789,0.8179,0.3333,184.0,8.0,11.0,0.06,0.9814,0.9979,7.71,1286,8,23,108_208,ground,cherry,108,1,208.0,False,,1,True
108_208_18_1_20250114_162618_coffee_ground,1,1.07,5.07,4.0,0.079,0.5308,0.7557,1.1,120.0,8.0,6.0,0.0156,0.9346,0.9995,3.996,1000,8,29,108_208,ground,coffee,108,1,,False,,0,True
108_208_19_1_20250114_162700_cologne_ground,1,1.71,8.47,6.76,0.0857,0.6816,0.8183,1.4,203.0,8.0,11.0,0.0595,0.8639,0.9545,1.738,307,8,8,108_208,ground,cologne,108,3,208.0,False,,4,False
108_208_19_1_20250114_162700_cologne_ground,2,10.65,39.29,28.64,0.037,0.7681,0.8645,7.7333,836.0,8.0,11.0,0.0691,0.9338,0.9706,6.776,1301,8,8,108_208,ground,cologne,108,3,208.0,False,,4,False
108_208_19_1_20250114_162700_cologne_ground,3,,,,,,,,,,,0.6832,0.9133,0.9953,0.528,25,8,8,108_208,ground,cologne,108,3,208.0,False,,4,True
108_208_20_1_20250114_162723_bitter_ground,1,1.1,14.1,13.0,0.0805,0.4458,0.6671,0.2667,390.0,8.0,9.0,0.0599,0.9637,0.9881,3.036,1083,8,12,108_208,ground,bitter,108,2,208.0,True,19.23,2,False
108_208_20_1_20250114_162723_bitter_ground,2,16.1,19.1,3.0,0.0746,0.1556,0.5083,0.1667,90.0,8.0,9.0,0.1154,0.9409,0.9932,2.988,250,8,12,108_208,ground,bitter,108,2,208.0,True,19.23,2,True
108_208_21_1_20250114_162731_sugar_ground,1,0.85,5.29,4.44,0.07,0.0888,0.2147,0.3,133.0,8.0,3.0,0.0203,0.9483,0.9978,4.436,1110,8,30,108_208,ground,sugar,108,1,,False,,0,True
108_208_23_1_20250114_162817_tiger_ground,1,4.43,11.43,7.0,0.1033,0.5187,0.702,0.8667,210.0,8.0,12.0,0.0809,0.9583,0.9906,6.984,583,8,34,108_208,ground,tiger,208,2,108.0,True,18.72,3,False
108_208_23_1_20250114_162817_tiger_ground,2,13.43,15.43,2.0,0.0256,0.1957,0.3913,0.1,60.0,8.0,12.0,0.0266,0.6475,0.8893,0.828,166,8,34,108_208,ground,tiger,208,2,108.0,True,18.72,3,True
108_208_24_1_20250114_162831_exam_ground,1,0.75,4.75,4.0,0.0904,0.3702,0.6344,0.6,120.0,8.0,5.0,0.0493,0.95,0.996,3.992,500,8,19,108_208,ground,exam,208,2,108.0,True,10.11,2,False
108_208_24_1_20250114_162831_exam_ground,2,6.75,8.75,2.0,0.1572,0.4982,0.6696,0.2,60.0,8.0,5.0,0.135,0.9623,0.9982,1.992,250,8,19,108_208,ground,exam,208,2,108.0,True,10.11,2,True
108_208_26_1_20250114_162904_hamster_ground,1,1.3,5.8,4.5,0.0319,0.2788,0.5525,0.1333,135.0,8.0,9.0,0.1135,0.9713,0.9964,4.49,450,8,14,108_208,ground,hamster,208,1,108.0,True,16.52,1,True
108_208_27_1_20250114_162936_bacon_ground,1,3.82,5.82,2.0,0.1083,0.3744,0.6821,0.4333,60.0,8.0,4.0,0.246,0.9519,0.9951,1.984,125,8,16,108_208,ground,bacon,208,4,108.0,True,27.7,7,False
108_208_27_1_20250114_162936_bacon_ground,2,7.82,11.82,4.0,0.0213,0.2876,0.5261,0.3333,120.0,8.0,4.0,0.1218,0.9207,0.9806,3.984,250,8,16,108_208,ground,bacon,208,4,108.0,True,27.7,7,False
108_208_27_1_20250114_162936_bacon_ground,3,17.82,22.82,5.0,0.0162,0.033,0.1154,0.0667,150.0,8.0,4.0,0.0149,0.486,0.8398,0.576,313,8,16,108_208,ground,bacon,208,4,108.0,True,27.7,7,False
108_208_27_1_20250114_162936_bacon_ground,4,23.82,27.82,4.0,0.2661,0.8586,0.9426,0.9,120.0,8.0,4.0,0.1183,0.9032,0.9857,1.856,250,8,16,108_208,ground,bacon,208,4,108.0,True,27.7,7,True
108_208_28_1_20250114_162956_river_ground,1,2.61,11.31,8.7,0.1688,0.9281,0.9594,3.2333,261.0,8.0,12.0,0.1945,0.9931,0.9965,4.37,870,7,20,108_208,ground,river,208,1,108.0,True,3.25,0,True
108_208_29_1_20250114_163011_walnut_ground,1,1.62,5.57,3.95,0.0481,0.5404,0.8473,0.4667,119.0,8.0,9.0,0.2519,0.9826,0.9963,3.944,494,8,25,108_208,ground,walnut,208,1,108.0,True,6.64,0,True
108_208_30_1_20250114_163024_butter_ground,1,4.69,6.69,2.0,0.0811,0.3493,0.7021,0.1333,60.0,8.0,5.0,0.0072,0.5704,0.665,0.192,333,8,20,108_208,ground,butter,208,2,108.0,True,9.25,2,False
108_208_30_1_20250114_163024_butter_ground,2,7.69,8.69,1.0,0.96,0.9583,0.9954,0.9667,30.0,8.0,5.0,0.006,0.0,0.0,0.0,167,8,20,108_208,ground,butter,208,2,108.0,True,9.25,2,True
108_208_31_1_20250114_163033_leather_ground,1,2.03,6.03,4.0,0.1858,0.5889,0.7952,0.2,120.0,8.0,7.0,0.0028,0.4241,0.5625,0.33,666,8,19,108_208,ground,leather,208,1,108.0,True,5.76,0,True
108_208_32_1_20250114_163057_chlorine_ground,1,3.7,10.7,7.0,0.0653,0.6379,0.7946,1.2,210.0,8.0,10.0,0.0429,0.9385,0.9939,6.984,583,8,21,108_208,ground,chlorine,208,1,,False,,0,True
108_208_34_1_20250114_163148_movie_board,1,0.85,9.97,9.12,0.0613,0.8501,0.93,1.8,267.0,8.0,6.0,0.059,0.9853,0.9987,9.114,1520,7,31,108_208,board,movie,108,1,,False,,0,True
108_208_35_1_20250114_163156_pasta_board,1,0.91,5.91,5.0,0.0454,0.5323,0.729,0.9333,150.0,8.0,4.0,0.056,0.9842,0.9996,4.996,1250,8,36,108_208,board,pasta,108,1,,False,,0,True
108_208_36_1_20250114_163248_balloon_board,1,0.82,51.6,50.78,0.0659,0.7563,0.8662,7.3667,1423.0,8.0,15.0,0.0676,0.7971,0.904,9.152,1888,8,10,108_208,board,balloon,108,1,,False,,0,True
